пореден номер,заглавие,автор,година,том/част,инвентарен номер
573,Българи от старо време,"Каравелов,Л.",,,1639
574,Крива ли е съдбата,"Каравелов,Л.",,,1640
575,Крива ли е съдбата,"Каравелов,Л.",,,1643
576,Руският лес,"Леонов,Л.",,,1647
577,Имението,Зебуолис,,,1663
578,Бързовогият елен,Тундин,,,1664
579,Али Юсуф от Куюджан,,,,1666
580,Драми,"Шилер,Ф.",,,1671
581,Роднини,"Мориц,Ж.",,,1675
582,Техние образи,"Нейков,П.",,,1677
583,Каляване на нервите,"Бенадов,Х.",,,1678
584,Нако Колев,"Коняров,К.",,,1686
585,Нако Колев,"Коняров,К.",,,1687
586,По стоманените релси,"Казака,Т",,,1691
587,Знатна фамилия,"Яворски,Н.",,,1697
588,Техеран,Севундц,,,1703
589,Соколова нива,"Каралийчев,А",,,1710
590,Маминото детненце,"Каравело,Л.",,,1712
591,Крива ли е съдбата,"Каравелов,Л.",,,1714
592,Крива ли е съдбата,"Каравелов,Л.",,,1715
593,Маминото детненце,"Каравело,Л.",,,1716
594,Маминото детненце,"Каравело,Л.",,,1717
595,Маминото детненце,"Каравело,Л.",,,1718
596,Българи от старо време,"Каравелов,Л.",,,1719
597,Българи от старо време,"Каравелов,Л.",,,1721
598,Книга  за бълг. народ,"Михайловски,Ст.",,,1727
599,Епопея на забравените,"Вазов,И.",,,1731
600,Бащи и деца,"Тургенев,И.С.",,,1739
601,Микел Анджело,"Ролан,Р.",,,1742
602,Той не умира. Бълг. писатели за ,,,,1749
603,Стихотворения,"Смирненски,Хр.",,,1753
604,,"Смирненски,Хр.",,,1754
605,,"Смирненски,Хр.",,,1755
606,Димитнров,"Божилов,Б.",,,1758
607,Холера,"Стоянов,Л",,,1760
608,Холера,"Стоянов,Л",,,1763
609,Събр. Съч т.6,"Вазов,",,т.6,1764
610,Нови хора,"Белев,Г.",,,1767
611,Нови хора,"Белев,Г.",,,1768
612,Нови хора,"Белев,Г.",,,1770
613,Септемврийци,"Зидаров,К.",,,1771
614,Творби,"Стоянов,Л.Избр.",,,1772
615,Младост,"Исаев,М.",,,1773
616,Младост,"Исаев,М.",,,1774
617,Огъня,"Исаев,М.",,,1775
618,Огъня,"Исаев,М.",,,1776
619,Огъня,"Исаев,М.",,,1777
620,Огъня,"Исаев,М.",,,1778
621,Избрани  творения,"Михайловски,С.",,,1784
622,Стихотворения,"Каравелов,Л.",,,1785
623,Милосърдието на Марс,"Стоянов,Л.",,,1789
624,Война лирика,"Исаев,М.",,,1790
625,Милосърдието на Марс,"Стоянов,Л.",,,1792
626,Новият човек,,,,1799
627,Влиянието на рес.,Могиляева,,,1806
628,Фауст,Гьоте,,,1813
629,Европ. Литература,Кохан.Зап.,,,1823
630,Дядовата Славчова,"Влайков,Т.",,,1827
631,Дядовата Славчова,"Влайков,Т.",,,1828
632,Дядовата Славчова,"Влайков,Т.",,,1830
633,Дядовата Славчова,"Влайков,Т.",,,1831
634,Село Борово,"Велков,К",,,1850
635,Холера,"Стоянов,Л",,,1851
636,Селкор,"Караславов,Г.",,,1854
637,Из преживяното,"Влайков,Т.",,,1859
638,Епопея на,"Вазов,Ив.",,,1862
639,Из преживяното,"Влайков,Т.",,,1863
640,Ако можеха да говорят,Йовков,,,1864
641, Обикновен човек,,,,1865
642,Женско сърце,,,,1866
643,Прикляченията на Гороломов,,,,1867
644,Милионерът,,,,1868
645,Чифликът кра  границата,,,,1869
646,Боряна,,,,1870
647,Албена,,,,1871
648,Жетварът,,,,1872
649,Вечери в Антимовския хан,,,,1873
650,Песента на колелетата,,,,1874
651,Старопланински легенди,,,,1875
652,Разкази т.3,,,т.3,1876
653,Щъркови гнезда,Елин-Пелин,,,1880
654,Щъркови гнезда,Елин-Пелин,,,1883
655,Чифликът край,Йовков,,,1886
656,Приключенията на Гороломов,,,,1887
657,Ако можеха да говорят,Йовков,,,1888
658,Женско сърце,,,,1889
659,Обикновен човек,,,,1890
660,Песента на колелетата,,,,1891
661,Старопланински легенди,,,,1892
662,Разкази т.1,,,т.1,1893
663,Край Места,,,,1894
664,Милионерът,,,,1896
665,Боряна,,,,1897
666,Жетварът,,,,1899
667,Вечери в Антимовския хан,,,,1900
668,Дядо Йоци гледа,"Вазов,И.",,,1924
669,Златни страници,"Сименон,Ж.",,,1927
670,Славянобългарска история,"Хилендарски,П.",,,1929
671,Волжските българи,Греков,,,1932
672,От ума си тегли,Грибоедов,,,1937
673,Събр. Съчинения,"Вазов,И.",,,1947
674,Избр. Съч.,"Вазов,И.",,,1948
675,Избр. Произведения,"Смирненски,Хр.",,,1949
676,Нови хора,"Белев,Г.",,,1954
677,Избрани  творения,"Михайловски,С.",,,1957
678,Епически  песни,"Славейков,П.",,,1964
679,Сън за щастие,,,,1965
680,Разкази в таралежова кожа,"Минков,Св.",,,1968
681,Избр. Съч.,"Славейков,П.",,,1970
682,Пейо К.Яворов,"Недялков,Х.",,,1972
683,В окопите,"Калфов,Д.",,,1975
684,Странна сватба,Миксат,,,1979
685,За право дело,Гросман,,,1981
686,Баскервилското куче,Конан-Дойл,,,1982
687,"Статии, речи","Стоянов,Л.",,,1984
688,"Статии, речи","Стоянов,Л.",,,1985
689,Елин-Пелин живот и творчество,"Генов,К.",,,1986
690,Орлеанската дева,"Шилер,Ф.Драми.Мария.Ст,",,,1987
691,произведения,"Кюлявков,К.Избрани",,,1988
692,Избр. Произведения,"Церковски,Ц",,,1989
693,Избр. Произведения,"Церковски,Ц",,,1990
694,Хляб и още нещо,"Кюлявков,К.",,,1996
695,Избр. Произв.,"Каравелов,Л.",,,1997
696,Минно гнездо,Мамин-Сибиряк,,,1999
697,Минно гнездо,Мамин-Сибиряк,,,2000
698,Утро на родината,Ламал,,,2003
699,Антонин Дворжак,Белза,,,2004
700,Пробуждане,"Дончев,А",,,2005
701,Немили-недраги,"Вазов,Ив.",,,2006
702,Немили-недраги,"Вазов,Ив.",,,2007
703,Немили-недраги,"Вазов,Ив.",,,2008
704,Немили-недраги,"Вазов,Ив.",,,2010
705,Широко течение,"Андреев,А.",,,2012
706,Широко течение,"Андреев,А.",,,2013
707,Индия без воал,Зихровски,,,2015
708,Епически песни,"Славейков,П.",,,2033
709,Епически песни,"Славейков,П.",,,2034
710,Събр. Съчинения,"Вазов,Ив.",,,2038
711,Събр. Съчинения,"Вазов,Ив.",,,2039
712,Кървава песен,"Славейков,П.",,,2040
713,Т.12,"Вазов,Ив.",,т.12,2062
714,Народни сърцеведия,"Георгиев,К.",,,2065
715,Сърце човешко,"Багряна,Е",,,2066
716,Поема на злото,"Мехайловски,С.",,,2069
717,Събрани съчинения т.2,"Яворов,П.К.",,т.2,2070
718,Теория на литературата,"Тимофеев,Л.",,,2074
719,Под игото,"Вазов,Ив.",,,2083
720,Ако можеха да говорят,"Йовков,Й.",,,2094
721,Хумори сатира,"Смирненски,Хр.",,,2095
722,Ако можеха да говорят,"Йовков,Й.",,,2101
723,Книга за българския народ,"Михайловски,Е.",,,2105
724,Избрани стихотворения,"Славейков,П.Р.",,,2110
725,Житие и страдание грешного Софрония,"Веселинов,Г.",,,2111
726,Житие и страдание грешного Софрония,"Веселинов,Г.",,,2112
727,Пробивът,"Белев,К.",,,2115
728,Пробивът,"Белев,К.",,,2116
729,ВЪзкресение,"Толстой,Л.",,,2117
730,Поема на злото,"Михайловски,Е.",,,2121
731,Стихотворения ,"Смирнински,Х.",,,2122
732,Стихотворения ,"Смирнински,Х.",,,2123
733,Стихотворения ,"Смирнински,Х.",,,2124
734,Стихотворения ,"Смирнински,Х.",,,2125
735,Немски поети,"Славейков,П.",,,2126
736,Щъркови гнезда,Елин-Пелин,,,2128
737,"Аз,ти,той",Елин-Пелин,,,2132
738,Книга  за бълг. народ,"Михайловски,Ст.",,,2133
739,Иван Вазов,"Мингов,Цв.",,,2134
740,Чичовци,"Вазов,Ив.",,,2136
741,Чичовци,"Вазов,Ив.",,,2137
742,Книга  за бълг. народ,"Михайловски,Ст.",,,2138
743,Стихотворения том 1,"Церковски,Ц.",,,2143
744,Против мира,,,,2144
745,Как се каляваше стоманата,"Островски,Н.",,,2145
746,Мария Стюард,"Цвайг,С.",,,2147
747,Пес И.Вазов,"Чилингиров,С.",,,2153
748,Пес Яворов,"Неделков,Х.",,,2160
